HRV Stress Base Stilte Muziek TempoMuziek
84.93680515280298 1 0 0 0 0
72.92053383868736 1 0 0 0 0
159.21580924344002 1 0 0 0 0
85.6591463983977 1 0 0 0 0
90.87154834089898 1 0 0 0 0
66.86391110827762 1 0 0 0 0
61.02458520956943 1 0 0 0 0
60.52799598427442 1 0 0 0 0
76.25119306899036 1 0 0 0 0
54.6967396956467 1 0 0 0 0
88.37510447467143 1 0 0 0 0
57.10536513562213 1 0 0 0 0
93.25502667416916 1 0 0 0 0
83.67537380746012 1 0 0 0 0
28.67133506737094 1 0 0 0 0
44.25008211791093 1 0 0 0 0
26.918226336274632 1 0 0 0 0
51.14462559519551 1 0 0 0 0
30.67794588358816 1 0 0 0 0
47.18387629072226 1 0 0 0 0
40.61235817289654 1 0 0 0 0
40.04561352746013 1 0 0 0 0
34.97076701267139 1 0 0 0 0
47.0709508997285 1 0 0 0 0
27.80789581696972 1 0 0 0 0
42.81898079449194 1 0 0 0 0
29.546573405388315 1 0 0 0 0
27.82712412753611 1 0 0 0 0
45.774290975237555 1 0 0 0 0
30.4978077748183 1 0 0 0 0
51.910866831888825 1 0 0 0 0
41.50371235847324 1 0 0 0 0
30.83095228901662 1 0 0 0 0
30.17892380222438 1 0 0 0 0
33.967421366446324 1 0 0 0 0
54.325956262264945 1 0 0 0 0
43.88540271466779 1 0 0 0 0
32.75631527623628 1 0 0 0 0
35.086627489278996 1 0 0 0 0
32.674804622871996 1 0 0 0 0
55.765025735115515 1 0 0 0 0
33.73707865524927 1 0 0 0 0
35.19402005481965 1 0 0 0 0
46.21868309100408 1 0 0 0 0
42.57278309513152 1 0 0 0 0
33.1328494742863 1 0 0 0 0
64.77061492790952 1 0 0 0 0
42.872457581151316 1 0 0 0 0
39.56910771946072 1 0 0 0 0
55.16749387956988 1 0 0 0 0
34.9025855230021 1 0 0 0 0
34.20943896479032 1 0 0 0 0
59.55229794454779 1 0 0 0 0
44.658914055887685 1 0 0 0 0
38.76731563965658 1 0 0 0 0
38.25131096704627 1 0 0 0 0
66.2349713412139 1 0 0 0 0
43.890720532217394 1 0 0 0 0
54.863900873412376 1 0 0 0 0
37.73276964075 1 0 0 0 0
39.632538339577685 1 0 0 0 0
57.09274380644914 1 0 0 0 0
46.76206236032021 1 0 0 0 0
39.65836247609972 1 0 0 0 0
50.52054613120635 1 0 0 0 0
33.13428665870072 1 0 0 0 0
74.31861014546416 1 0 0 0 0
41.69389586475402 1 0 0 0 0
45.11252082164907 1 0 0 0 0
42.0121864406485 1 0 0 0 0
46.4034381244261 1 0 0 0 0
37.64211167600154 1 0 0 0 0
32.956983944191165 1 0 0 0 0
57.09995413224745 1 0 0 0 0
52.71291267602937 1 0 0 0 0
39.77466290899031 1 0 0 0 0
39.5186149837334 1 0 0 0 0
39.88588373008968 1 0 0 0 0
36.677729127543984 1 0 0 0 0
61.417178113634144 1 0 0 0 0
38.252222917623165 1 0 0 0 0
63.608358380121345 1 0 0 0 0
33.77869150810907 1 0 0 0 0
34.659808504684435 1 0 0 0 0
60.90671479382831 1 0 0 0 0
61.50250514844809 1 0 0 0 0
33.65833805953931 1 0 0 0 0
55.705621611016674 1 0 0 0 0
64.15243474507363 1 0 0 0 0
40.048517087780326 1 0 0 0 0
34.48774799700267 1 0 0 0 0
34.28030826704627 1 0 0 0 0
34.47513428140535 1 0 0 0 0
34.88319379446678 1 0 0 0 0
62.2147443826996 1 0 0 0 0
50.247758251511335 1 0 0 0 0
49.223269218512286 1 0 0 0 0
54.537448907455634 1 0 0 0 0
71.10048572103739 1 0 0 0 0
